Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-08-09,276.70941162109375,279.79963700414334,276.2103797453838,278.07219419100153,16117600
2021-08-10,274.89556884765625,277.5923146609027,273.7055541222731,277.16043936211105,18616600
2021-08-11,275.385009765625,277.0260831007816,274.3389144756151,275.6345110192113,13955900
2021-08-12,278.1297302246094,278.283285228758,274.79958112166787,275.0779013971637,14561300
2021-08-13,281.0472106933594,281.09518381779094,277.64026951768847,277.81303719840986,18249000
2021-08-16,282.7266845703125,282.93781903888737,278.3312568029692,281.3735085609403,22507600
2021-08-17,281.2679748535156,281.60387465026935,279.3485809150683,280.60581088936834,20075300
2021-08-18,279.5467834472656,283.4794538884407,279.1044566907851,280.8063906085156,21813000
2021-08-19,285.3544616699219,286.0275472712108,277.5372141574895,277.5852791245708,29850500
2021-08-20,292.6524658203125,294.0755466635113,286.5948135303095,288.190963446094,40817600
2021-08-23,292.9313049316406,293.6524553767425,290.23902167406834,291.5851633028545,22830200
2021-08-24,290.9793395996094,293.89278569706903,290.38319336781683,293.28701473776965,18175800
2021-08-25,290.3928527832031,292.8735972507259,288.86401745475416,292.59474421285233,20006100
2021-08-26,287.585205078125,290.7967251675743,287.4506055747187,289.4121138382239,17666100
2021-08-27,288.1909484863281,289.2967066286994,285.4121013647465,287.48901815902764,22605700
2021-08-30,291.9121398925781,292.5179110830092,289.47945974336733,289.5371494430567,16348100
2021-08-31,290.267822265625,292.7870360747933,289.902434734155,292.71012628359654,26285300
2021-09-01,290.2197265625,293.4504953070567,289.89280860005545,291.21972990530116,18983800
2021-09-02,289.5659484863281,291.69093033858195,288.6332593639689,290.5755767585639,16285600
2021-09-03,289.556396484375,290.96022807123313,288.71024177108217,289.41214289266503,14747900
2021-09-07,288.6332702636719,289.5082697285104,286.7294517158089,289.4313599194175,17180400
2021-09-08,288.662109375,289.04671710020153,286.0275156464967,288.2486568040006,15046800
2021-09-09,285.81597900390625,290.5178943078141,285.5755955060056,289.24866239641324,19927000
2021-09-10,284.335205078125,288.38328426235665,284.01791177587137,286.9409832920089,19633400
2021-09-13,285.56597900390625,287.0563743400453,282.7679114864811,286.1044357072228,23652900
2021-09-14,288.25823974609375,289.79669976756344,286.63324519977493,288.0370763979121,21853400
2021-09-15,293.09478759765625,293.57555457579934,290.2101857287975,291.5947969733447,28356300
2021-09-16,293.47943115234375,293.56596569773495,289.19099739981857,292.0755996209567,19550800
2021-09-17,288.3352355957031,292.78714332382805,288.0083175119213,292.4698499713523,41372500
2021-09-20,282.9794006347656,287.2293931677513,278.3832700003604,284.9313131787065,38278700
2021-09-21,283.4602355957031,286.09485893371766,282.7583344959058,284.316015013533,22364100
2021-09-22,287.0948486328125,288.6717786965253,283.1814270111703,285.3160339610174,26626300
2021-09-23,288.0371398925781,289.32559200827507,286.08522692976766,287.3544589280449,18604600
2021-09-24,287.8352355957031,288.26790832981595,285.5083101876047,286.7583221103223,14999000
2021-09-27,282.8544616699219,285.0659780697312,281.67176431973326,284.7486847699523,23571700
2021-09-28,272.61407470703125,279.5948200559048,271.8737041842086,278.65250629111523,43186200
2021-09-29,273.0757141113281,275.7391532943879,272.1238046387394,274.13340760514626,26353700
2021-09-30,271.0756530761719,276.7582926672313,270.78717529668586,274.71984547108286,32343600
2021-10-01,277.97955322265625,278.82570804449455,270.4699731943855,271.2680336982534,30086300
2021-10-04,272.21990966796875,276.68144205400307,269.4699361794418,276.3448992444517,31350700
2021-10-05,277.652587890625,279.22948850924683,273.1237412861691,273.1237412861691,24993000
2021-10-06,281.83526611328125,282.3352826609883,274.52762990584176,274.7872335676707,28002600
2021-10-07,283.50830078125,285.22945482720434,282.6140812194665,283.825594084445,20430500
2021-10-08,283.50830078125,285.22945482720434,282.46023226093035,284.82559764308587,17685700
2021-10-11,282.9122009277344,286.50832922582435,281.4891198350352,281.65259355026353,19298600
2021-10-12,281.6141052246094,284.0756301147398,281.10449333744236,283.97947083828177,17974100
2021-10-13,284.91217041015625,285.8448596726452,282.2006371715357,283.56602852194857,23416300
2021-10-14,291.1043395996094,291.6043265803658,286.3735806906025,287.7005019459464,27262900
2021-10-15,292.50830078125,292.7390889350849,288.9602373568644,290.71023658361656,25384800
2021-10-18,295.4698486328125,296.35444365266295,291.0467855024762,291.89294028229466,22729300
2021-10-19,296.3736267089844,297.40244575766764,295.4024680074294,296.489006090617,17682100
2021-10-20,295.5852355957031,297.7871571571462,294.33522351404,297.31598543961144,16537100
2021-10-21,298.80633544921875,299.0563143524255,294.5755620879851,295.3544316768825,16918100
2021-10-22,297.267822265625,299.1235756390308,295.960120910737,298.46011490450775,17449300
2021-10-25,296.2774963378906,297.49863403751334,294.6717215370627,297.4601644586546,17554500
2021-10-26,298.1812438964844,300.3831645978906,296.729347757345,299.03702309577824,28107300
2021-10-27,310.7390441894531,313.55633256932924,303.8448305347635,303.8448305347635,52588700
2021-10-28,311.87359619140625,312.37358336767323,308.9985892327168,311.8543467291355,26297900
2021-10-29,318.86383056640625,319.22921810139104,311.44078853801216,311.66195187331414,34766000
2021-11-01,316.7004699707031,318.7389174914313,313.81586777864834,318.6139133681184,27073200
2021-11-02,320.31585693359375,320.6235548856837,317.30625052903974,317.6043237502232,26487100
2021-11-03,321.1523132324219,322.0176878484429,317.9311688926411,321.05615397648955,21500100
2021-11-04,323.49847412109375,323.59463338175044,316.83505110356475,320.08504044542997,23992200
2021-11-05,323.1331481933594,325.75814685735793,321.55624752371233,325.4889184823601,22570100
2021-11-08,324.02728271484375,324.6618985770728,321.57538313486805,324.3253558608429,20897000
2021-11-09,323.0273742675781,325.69081300942594,321.6619830119795,324.1427279377186,21307400
2021-11-10,318.0754089355469,321.75810028088216,317.2292837348111,321.7004105931885,25500900
2021-11-11,319.64276123046875,320.93121335247633,317.79663226365136,318.50815807964443,16849800
2021-11-12,323.7677307128906,324.2581224444753,320.95044312615977,321.07544724155895,23831000
2021-11-15,323.1426696777344,324.8830434999955,321.18113251879515,324.55612553078606,16723000
2021-11-16,326.45037841796875,327.5657612448941,322.60424288113046,322.7676872089823,20886800
2021-11-17,326.6719665527344,329.62928356256526,325.59308293416547,326.4985808420445,19053400
2021-11-18,328.7430419921875,329.87975024868393,324.74538130798175,325.76646969293915,22463500
2021-11-19,330.5154724121094,332.4324456190178,329.63890158471446,330.06275288893943,21963400
2021-11-22,327.3558654785156,336.8346949958714,327.0861445993955,331.9700474366429,31031100
2021-11-23,325.2847900390625,326.98983755172486,321.3160273770026,324.6779107140383,30427600
2021-11-24,325.50640869140625,325.74723199137054,321.6532358919778,323.93623607205905,21661300
2021-11-26,317.5783996582031,325.52556616932594,316.07566506970744,322.0769904847952,24217200
2021-11-29,324.2732849121094,326.58518193047803,322.4526472693235,322.6453176030899,28563500
2021-11-30,318.4550476074219,325.38112702645924,316.9137728395476,323.01143434180807,42885600
2021-12-01,317.9637145996094,326.8260212365159,317.29906952934004,322.82836149169225,33337600
2021-12-02,317.3955078125,321.2486811072241,315.76753974368876,318.1757730528913,30766000
