Date,AAPL,BAC,COP,COST,CVX,EWA,EWC,GOOGL,GS,JNJ,JPM,KO,MCD,META,MRK,MS,MSFT,NVDA,PEP,PFE,QQQ,SLB,SPY,UNH,WMT,XOM
2021-09-13,145.86676025390625,36.22295379638672,48.231754302978516,435.6072082519531,80.1747055053711,21.175382614135742,33.78001022338867,140.9908905029297,362.5543212890625,144.1925048828125,141.06149291992188,48.36083221435547,214.68861389160156,373.2324523925781,62.611141204833984,89.03231811523438,285.0294494628906,22.07953453063965,132.44720458984375,34.216087341308594,365.2242736816406,25.170602798461914,417.3873596191406,381.0357971191406,45.42182922363281,46.4680061340332
2021-09-14,144.4719696044922,35.24970245361328,47.6873779296875,434.4226379394531,78.7261962890625,20.963706970214844,33.51779556274414,141.20086669921875,357.62005615234375,143.32284545898438,138.59957885742188,48.395591735839844,214.61740112304688,373.25225830078125,62.24856948852539,86.90885925292969,287.7166442871094,22.169240951538086,131.92845153808594,34.315860748291016,364.1857604980469,24.776613235473633,415.13494873046875,379.2156982421875,45.18385696411133,45.805015563964844
2021-09-15,145.3595428466797,35.51512145996094,49.680633544921875,436.6212463378906,80.39563751220703,21.167240142822266,33.969886779785156,143.06809997558594,356.07855224609375,143.8620147705078,139.5614013671875,48.56070327758789,214.48391723632812,370.66497802734375,62.85283660888672,87.87252044677734,292.5440368652344,22.26791763305664,132.6682891845703,34.36190414428711,366.89349365234375,26.18243980407715,418.60247802734375,383.79339599609375,45.26214599609375,47.34919357299805
2021-09-16,145.12545776367188,35.78940963745117,49.60525131225586,439.0662536621094,79.64275360107422,21.102113723754883,33.671504974365234,142.25634765625,351.409912109375,143.6880645751953,139.49961853027344,48.10013198852539,216.4687042236328,369.8124694824219,62.12772750854492,87.38641357421875,292.927978515625,22.169240951538086,132.27713012695312,34.131649017333984,367.14581298828125,25.842174530029297,417.9388427734375,383.16839599609375,45.41242980957031,46.84566116333008
2021-09-17,142.46270751953125,35.83365249633789,49.34563446044922,435.4651184082031,79.18447875976562,20.711332321166992,33.23750686645508,139.4728240966797,346.7857360839844,143.279296875,139.1378173828125,47.30931854248047,215.82789611816406,361.5450744628906,61.87738037109375,86.77239990234375,287.79339599609375,21.82835578918457,131.06117248535156,33.686492919921875,362.7980041503906,25.349685668945312,413.86767578125,386.2201843261719,45.318504333496094,46.29176330566406
2021-09-20,139.41954040527344,34.603797912597656,47.7962532043457,427.5329895019531,77.56413269042969,20.17401123046875,32.55937194824219,137.4119110107422,334.9769592285156,142.46182250976562,134.972900390625,46.979095458984375,212.80169677734375,352.6036376953125,62.093177795410156,84.11167907714844,282.44775390625,21.043935775756836,130.61900329589844,33.9244270324707,355.3013916015625,24.400535583496094,406.96685791015625,379.36279296875,44.69538116455078,45.058101654052734
2021-09-21,139.8974609375,34.62150192260742,49.68901443481445,428.4522399902344,77.62140655517578,20.410106658935547,32.695003509521484,137.72247314453125,332.94830322265625,143.08798217773438,134.99050903320312,46.97040557861328,214.05667114257812,354.3681335449219,62.12772750854492,83.83026123046875,282.9275817871094,21.176502227783203,130.55947875976562,33.70951461791992,355.7386169433594,24.11399269104004,406.58233642578125,379.0318603515625,44.78305435180664,45.01613998413086
2021-09-22,142.2578887939453,35.51512145996094,52.14289093017578,428.6607971191406,79.90463256835938,20.540367126464844,33.10187530517578,138.96116638183594,341.479248046875,142.5662384033203,137.5759735107422,47.03993225097656,216.3975067138672,340.2223205566406,62.18815231323242,85.96224212646484,286.5553283691406,21.86922836303711,130.9591064453125,33.73255157470703,359.0613708496094,24.310983657836914,410.5484313964844,375.6859130859375,44.679725646972656,46.3337287902832
2021-09-23,143.21376037597656,36.886539459228516,53.357269287109375,429.087158203125,81.88506317138672,20.849735260009766,33.51779556274414,139.88491821289062,347.1400451660156,143.375,142.22622680664062,46.96171951293945,217.86605834960938,342.9483642578125,63.06001663208008,88.30744171142578,287.49591064453125,22.4084529876709,131.06117248535156,33.916748046875,362.3744201660156,25.860088348388672,415.5365905761719,375.0699768066406,44.704776763916016,47.90308380126953
2021-09-24,143.30149841308594,37.28468704223633,54.454402923583984,443.27392578125,82.32698822021484,20.62177848815918,33.36409378051758,140.87449645996094,346.2453918457031,142.94017028808594,143.8675537109375,46.831363677978516,219.3257598876953,349.88739013671875,63.54344177246094,87.76165008544922,287.29437255859375,22.008766174316406,131.12069702148438,33.72487258911133,362.71441650390625,25.976490020751953,416.2210998535156,374.1968078613281,44.83002853393555,48.331085205078125
