Price,EWA_close,EWC_close
2021-08-09,21.36263084411621,33.789058685302734
2021-08-10,21.47661018371582,34.015098571777344
2021-08-11,21.58244514465332,34.1868896484375
2021-08-12,21.517314910888672,34.114559173583984
2021-08-13,21.66386032104492,34.096473693847656
2021-08-16,21.435901641845703,33.89755630493164
2021-08-17,20.91486358642578,33.544925689697266
2021-08-18,20.752037048339844,33.35505294799805
2021-08-19,20.581073760986328,32.74020767211914
2021-08-20,20.62177848815918,32.984336853027344
2021-08-23,20.825307846069336,33.65342712402344
2021-08-24,21.004417419433594,33.89755630493164
2021-08-25,21.06140518188477,33.9427604675293
2021-08-26,20.86601448059082,33.51780319213867
2021-08-27,21.175386428833008,33.960845947265625
2021-08-30,21.1672420501709,33.906593322753906
2021-08-31,21.10211181640625,33.76192855834961
2021-09-01,21.31378746032715,33.97893524169922
2021-09-02,21.49289321899414,34.37676239013672
2021-09-03,21.606868743896484,34.4490966796875
2021-09-07,21.49289321899414,34.05126190185547
2021-09-08,21.370771408081055,33.83426284790039
2021-09-09,21.159103393554688,33.906593322753906
2021-09-10,21.004417419433594,33.6715087890625
2021-09-13,21.175386428833008,33.7800178527832
2021-09-14,20.963712692260746,33.51780319213867
2021-09-15,21.1672420501709,33.969886779785156
2021-09-16,21.10211181640625,33.6715087890625
2021-09-17,20.711332321166992,33.23750305175781
2021-09-20,20.174009323120117,32.55936813354492
2021-09-21,20.41010475158691,32.69499969482422
2021-09-22,20.540363311767575,33.10188293457031
2021-09-23,20.84973526000977,33.51780319213867
2021-09-24,20.62177848815918,33.36408996582031
2021-09-27,20.743896484375,33.63534164428711
2021-09-28,20.1333065032959,33.00241470336914
2021-09-29,20.07631492614746,32.830623626708984
2021-09-30,20.20657539367676,32.82158660888672
2021-10-01,20.30426788330078,33.11996078491211
2021-10-04,20.393823623657227,33.13804626464844
2021-10-05,20.613636016845703,33.36408996582031
2021-10-06,20.458953857421875,33.33696365356445
2021-10-07,20.71947479248047,33.86138916015625
2021-10-08,20.73575210571289,34.096473693847656
2021-10-11,20.752037048339844,34.00605392456055
2021-10-12,20.874156951904297,34.13263702392578
2021-10-13,20.963712692260746,34.503353118896484
2021-10-14,21.199810028076172,35.000648498535156
2021-10-15,21.297502517700195,35.25381851196289
2021-10-18,21.191667556762695,35.308067321777344
2021-10-19,21.484750747680664,35.56123733520508
2021-10-20,21.680139541625977,35.85057067871094
2021-10-21,21.47661018371582,35.71494674682617
2021-10-22,21.606868743896484,35.769195556640625
2021-10-25,21.73712730407715,35.82344436645508
2021-10-26,21.696420669555664,35.55220031738281
2021-10-27,21.62315368652344,35.26285934448242
2021-10-28,21.859251022338867,35.805362701416016
2021-10-29,21.541738510131836,35.42561340332031
2021-11-01,21.549877166748047,35.841529846191406
2021-11-02,21.305639266967773,35.56123733520508
2021-11-03,21.468469619750977,35.81440353393555
2021-11-04,21.36263084411621,35.66973876953125
2021-11-05,21.517314910888672,35.8596076965332
2021-11-08,21.55802345275879,36.04045486450195
2021-11-09,21.39519691467285,36.04045486450195
2021-11-10,21.13467788696289,35.69686508178711
2021-11-11,21.03697967529297,35.67878723144531
2021-11-12,21.224231719970703,36.16703414916992
2021-11-15,21.24051284790039,36.07661437988281
2021-11-16,21.11839485168457,36.00428009033203
2021-11-17,20.776460647583008,35.74207305908203
2021-11-18,20.792743682861328,35.832489013671875
2021-11-19,20.62177848815918,35.48889923095703
2021-11-22,20.59735107421875,35.127227783203125
2021-11-23,20.86601448059082,35.36232376098633
2021-11-24,20.784605026245117,35.543155670166016
2021-11-26,19.99490547180176,34.530479431152344
2021-11-29,20.149587631225582,34.602813720703125
2021-11-30,19.913488388061523,33.798095703125
2021-12-01,19.742525100708008,33.32792663574219
2021-12-02,20.07631492614746,33.9246826171875
2021-12-03,19.791370391845703,33.59917449951172
