Price,AAPL_close,MSFT_close
2021-08-09,142.61485290527344,276.70941162109375
2021-08-10,142.13650512695312,274.89556884765625
2021-08-11,142.39035034179688,275.385009765625
2021-08-12,145.34828186035156,278.1297302246094
2021-08-13,145.55325317382812,281.0472106933594
2021-08-16,147.52517700195312,282.7266845703125
2021-08-17,146.61734008789062,281.2679748535156
2021-08-18,142.87843322753906,279.5467834472656
2021-08-19,143.21034240722656,285.3544616699219
2021-08-20,144.66488647460938,292.6524658203125
2021-08-23,146.1487579345703,292.9313049316406
2021-08-24,146.06088256835938,290.9793395996094
2021-08-25,144.83087158203125,290.3928527832031
2021-08-26,144.0303497314453,287.585205078125
2021-08-27,145.06515502929688,288.1909484863281
2021-08-30,149.47760009765625,291.9121398925781
2021-08-31,148.21829223632812,290.267822265625
2021-09-01,148.88211059570312,290.2197265625
2021-09-02,149.99505615234375,289.5659484863281
2021-09-03,150.62954711914062,289.556396484375
2021-09-07,152.96273803710938,288.6332702636719
2021-09-08,151.42030334472656,288.662109375
2021-09-09,150.405029296875,285.81597900390625
2021-09-10,145.42637634277344,284.335205078125
2021-09-13,145.9925537109375,285.56597900390625
2021-09-14,144.59654235839844,288.25823974609375
2021-09-15,145.48492431640625,293.09478759765625
2021-09-16,145.25062561035156,293.47943115234375
2021-09-17,142.58554077148438,288.3352355957031
2021-09-20,139.539794921875,282.9794006347656
2021-09-21,140.01815795898438,283.4602355957031
2021-09-22,142.38058471679688,287.0948486328125
2021-09-23,143.33729553222656,288.0371398925781
2021-09-24,143.4250946044922,287.8352355957031
2021-09-27,141.91197204589844,282.8544616699219
2021-09-28,138.53428649902344,272.61407470703125
2021-09-29,139.43238830566406,273.0757141113281
2021-09-30,138.13404846191406,271.0756530761719
2021-10-01,139.25669860839844,277.97955322265625
2021-10-04,135.83016967773438,272.21990966796875
2021-10-05,137.7533416748047,277.652587890625
2021-10-06,138.6221466064453,281.83526611328125
2021-10-07,139.88150024414062,283.50830078125
2021-10-08,139.5006866455078,283.50830078125
2021-10-11,139.4128875732422,282.9122009277344
2021-10-12,138.14381408691406,281.6141052246094
2021-10-13,137.55809020996094,284.91217041015625
2021-10-14,140.3402862548828,291.1043395996094
2021-10-15,141.3945770263672,292.50830078125
2021-10-18,143.0639190673828,295.4698486328125
2021-10-19,145.22134399414062,296.3736267089844
2021-10-20,145.70944213867188,295.5852355957031
2021-10-21,145.9241943359375,298.80633544921875
2021-10-22,145.1530303955078,297.267822265625
2021-10-25,145.10423278808594,296.2774963378906
2021-10-26,145.7680206298828,298.1812438964844
2021-10-27,145.30918884277344,310.7390441894531
2021-10-28,148.94070434570312,311.87359619140625
2021-10-29,146.23660278320312,318.86383056640625
2021-11-01,145.41659545898438,316.7004699707031
2021-11-02,146.45138549804688,320.31585693359375
2021-11-03,147.8864288330078,321.1523132324219
2021-11-04,147.3690643310547,323.49847412109375
2021-11-05,147.8969268798828,323.1331481933594
2021-11-08,147.07571411132812,324.02728271484375
2021-11-09,147.43746948242188,323.0273742675781
2021-11-10,144.61207580566406,318.0754089355469
2021-11-11,144.56317138671875,319.64276123046875
2021-11-12,146.6357879638672,323.7677307128906
2021-11-15,146.6455841064453,323.1426696777344
2021-11-16,147.62319946289062,326.45037841796875
2021-11-17,150.05752563476562,326.6719665527344
2021-11-18,154.33953857421875,328.7430419921875
2021-11-19,156.95962524414062,330.5154724121094
2021-11-22,157.4191436767578,327.3558654785156
2021-11-23,157.80038452148438,325.2847900390625
2021-11-24,158.31854248046875,325.50640869140625
2021-11-26,153.30325317382812,317.5783996582031
2021-11-29,156.6565704345703,324.2732849121094
2021-11-30,161.60340881347656,318.4550476074219
2021-12-01,161.0852813720703,317.9637145996094
2021-12-02,160.0978546142578,317.3955078125
2021-12-03,158.2208251953125,311.1533203125
2021-12-06,161.6229705810547,314.21661376953125
2021-12-07,167.35191345214844,322.6261291503906
2021-12-08,171.16468811035156,322.67431640625
2021-12-09,170.65634155273438,320.8729553222656
2021-12-10,175.43698120117188,329.9664306640625
2021-12-13,171.8099365234375,326.9416809082031
2021-12-14,170.4314422607422,316.2876892089844
2021-12-15,175.29031372070312,322.36602783203125
2021-12-16,168.4077606201172,312.973876953125
2021-12-17,167.31280517578125,311.9143981933594
2021-12-20,165.9539031982422,308.1671142578125
2021-12-21,169.12144470214844,315.2761535644531
2021-12-22,171.71217346191406,320.9692687988281
2021-12-23,172.33786010742188,322.4046630859375
2021-12-27,176.29730224609375,329.8797302246094
2021-12-28,175.28053283691406,328.7237548828125
2021-12-29,175.36854553222656,329.3980712890625
2021-12-30,174.21493530273438,326.8646545410156
2021-12-31,173.59902954101562,323.9747619628906
2022-01-03,177.9397735595703,322.4623718261719
2022-01-04,175.68138122558594,316.93304443359375
2022-01-05,171.00827026367188,304.7666931152344
2022-01-06,168.15359497070312,302.3584289550781
2022-01-07,168.3197784423828,302.51251220703125
2022-01-10,168.33934020996094,302.734130859375
2022-01-11,171.16468811035156,303.4180603027344
2022-01-12,171.60462951660156,306.5872802734375
2022-01-13,168.33934020996094,293.6117248535156
2022-01-14,169.1996307373047,298.8135681152344
2022-01-18,166.00279235839844,291.5406494140625
2022-01-19,162.51260375976562,292.1957092285156
2022-01-20,160.8311004638672,290.5292663574219
2022-01-21,158.77806091308594,285.1636047363281
2022-01-24,158.0056915283203,285.4911193847656
2022-01-25,156.2068328857422,277.9004211425781
2022-01-26,156.11888122558594,285.8186340332031
2022-01-27,155.6593475341797,288.83380126953125
2022-01-28,166.52093505859375,296.9447937011719
2022-01-31,170.87139892578125,299.5648498535156
2022-02-01,170.7052001953125,297.4264221191406
2022-02-02,171.90771484375,301.953857421875
2022-02-03,169.03343200683594,290.1920471191406
2022-02-04,168.74957275390625,294.7098693847656
2022-02-07,168.03497314453125,289.903076171875
2022-02-08,171.1380615234375,293.3804931640625
2022-02-09,172.55743408203125,299.7864074707031
2022-02-10,168.4852752685547,291.2805480957031
2022-02-11,165.07875061035156,284.2099609375
2022-02-14,165.31369018554688,284.17144775390625
2022-02-15,169.14112854003906,289.440673828125
2022-02-16,168.90621948242188,289.10284423828125
2022-02-17,165.31369018554688,280.63726806640625
2022-02-18,163.76707458496094,277.93450927734375
2022-02-22,160.84999084472656,277.7318420410156
2022-02-23,156.68975830078125,270.54034423828125
2022-02-24,159.3033905029297,284.3632507324219
2022-02-25,161.36878967285156,286.98883056640625
2022-02-28,161.6331024169922,288.41754150390625
2022-03-01,159.75364685058594,284.7107849121094
2022-03-02,163.0426788330078,289.7689208984375
2022-03-03,162.71966552734375,285.6471252441406
2022-03-04,159.72427368164062,279.79742431640625
2022-03-07,155.93601989746094,269.2276611328125
2022-03-08,154.11529541015625,266.2738952636719
2022-03-09,159.5089111328125,278.4846496582031
2022-03-10,155.1724853515625,275.6756591796875
2022-03-11,151.46249389648438,270.34735107421875
2022-03-14,147.4393310546875,266.8433532714844
2022-03-15,151.8148956298828,277.1815490722656
2022-03-16,156.21990966796875,284.1701965332031
2022-03-17,157.22811889648438,284.9714050292969
2022-03-18,160.51718139648438,290.0005187988281
2022-03-21,161.8876190185547,288.7746276855469
2022-03-22,165.25497436523438,293.5045166015625
2022-03-23,166.6156005859375,289.0931091308594
2022-03-24,170.39410400390625,293.543212890625
2022-03-25,171.03038024902344,293.1376953125
2022-03-28,171.89181518554688,299.91400146484375
2022-03-29,175.18084716796875,304.4605407714844
2022-03-30,174.01597595214844,302.96435546875
2022-03-31,170.92269897460938,297.6070861816406
2022-04-01,170.6290740966797,298.678466796875
2022-04-04,174.67184448242188,304.0357971191406
2022-04-05,171.36318969726562,300.08782958984375
2022-04-06,168.20143127441406,289.10284423828125
2022-04-07,168.50485229492188,290.9078674316406
2022-04-08,166.49813842773438,286.6606750488281
2022-04-11,162.24981689453125,275.3572082519531
2022-04-12,164.1194610595703,272.26824951171875
2022-04-13,166.8015899658203,277.6352233886719
2022-04-14,161.79953002929688,270.11566162109375
2022-04-18,161.58416748046875,270.7817077636719
2022-04-19,163.86495971679688,275.39581298828125
2022-04-20,163.6985321044922,276.4189758300781
2022-04-21,162.90565490722656,271.06170654296875
2022-04-22,158.37338256835938,264.51708984375
2022-04-25,159.44041442871094,270.9747619628906
2022-04-26,153.48876953125,260.8392639160156
2022-04-27,153.26364135742188,273.3879699707031
2022-04-28,160.1843719482422,279.57550048828125
2022-04-29,154.3208465576172,267.8858642578125
2022-05-02,154.62429809570312,274.5946044921875
2022-05-03,156.11219787597656,271.9979553222656
2022-05-04,162.5141143798828,279.9132995605469
2022-05-05,153.45945739746094,267.72174072265625
2022-05-06,154.1848907470703,265.1927185058594
2022-05-09,149.06761169433594,255.3951110839844
2022-05-10,151.46937561035156,260.14434814453125
2022-05-11,143.61700439453125,251.5049285888672
2022-05-12,139.75453186035156,246.48550415039065
2022-05-13,144.2149658203125,252.05520629882812
2022-05-16,142.6759033203125,252.42202758789065
2022-05-17,146.30308532714844,257.5573425292969
2022-05-18,138.0487823486328,245.830810546875
2022-05-19,134.64707946777344,244.92135620117188
2022-05-20,134.88235473632812,244.36021423339844
2022-05-23,140.29373168945312,252.18751525878903
2022-05-24,137.5978240966797,251.19097900390625
2022-05-25,137.75469970703125,253.996826171875
2022-05-26,140.9505615234375,257.2670593261719
2022-05-27,146.69522094726562,264.3687438964844
2022-05-31,145.91094970703125,263.0431823730469
2022-06-01,145.78350830078125,263.575439453125
2022-06-02,148.23435974121094,265.6651916503906
2022-06-03,142.51905822753906,261.25323486328125
2022-06-06,143.26409912109375,260.02459716796875
2022-06-07,145.78350830078125,263.65283203125
2022-06-08,145.04827880859375,261.6306457519531
2022-06-09,139.83302307128906,256.19305419921875
2022-06-10,134.43141174316406,244.7762451171875
2022-06-13,129.2847442626953,234.39459228515625
2022-06-14,130.14736938476562,236.5521697998047
2022-06-15,132.76487731933594,243.5861358642578
2022-06-16,127.50054168701172,237.0166015625
2022-06-17,128.97100830078125,239.6096038818359
2022-06-21,133.1961669921875,245.5018615722656
2022-06-22,132.68641662597656,244.91168212890625
2022-06-23,135.54896545410156,250.45558166503903
2022-06-24,138.8722686767578,259.0086364746094
2022-06-27,138.8722686767578,256.2898254394531
2022-06-28,134.7353057861328,248.1529083251953
2022-06-29,136.4901123046875,251.81021118164065
2022-06-30,134.0294647216797,248.49156188964844
2022-07-01,136.1959686279297,251.1522674560547
2022-07-05,138.7742462158203,254.31607055664065
2022-07-06,140.1074981689453,257.5670166015625
2022-07-07,143.46998596191406,259.6858825683594
2022-07-08,144.1463623046875,258.9698791503906
2022-07-11,142.0190887451172,255.92222595214844
2022-07-12,142.98960876464844,245.43418884277344
2022-07-13,142.62689208984375,244.5149688720703
2022-07-14,145.54824829101562,245.830810546875
2022-07-15,147.21475219726562,248.38510131835935
2022-07-18,144.1758270263672,245.99530029296875
2022-07-19,148.02847290039062,251.1039123535156
2022-07-20,150.02830505371094,253.75489807128903
2022-07-21,152.2928466796875,256.24151611328125
2022-07-22,151.05763244628906,251.90695190429688
2022-07-25,149.9400634765625,250.4265594482422
2022-07-26,148.6166534423828,243.7215881347656
2022-07-27,153.70452880859375,260.01483154296875
2022-07-28,154.25350952148438,267.4358215332031
2022-07-29,159.31195068359375,271.625244140625
2022-08-01,158.3316192626953,268.98382568359375
2022-08-02,156.8611602783203,265.8974914550781
2022-08-03,162.86068725585938,273.2990417480469
2022-08-04,162.5470428466797,274.4407958984375
2022-08-05,162.3212127685547,273.7248229980469
2022-08-08,161.85000610351562,271.2188415527344
2022-08-09,161.89910888671875,273.1346130371094
2022-08-10,166.13995361328125,279.7718811035156
2022-08-11,165.40370178222656,277.7013244628906
2022-08-12,168.94752502441406,282.4326171875
2022-08-15,170.01760864257812,283.9419860839844
2022-08-16,169.86053466796875,283.2066955566406
2022-08-17,171.35269165039062,282.4600830078125
2022-08-18,170.9600067138672,281.3450012207031
2022-08-19,168.37823486328125,277.4472961425781
2022-08-22,164.5005645751953,269.302734375
2022-08-23,164.16676330566406,268.0326232910156
2022-08-24,164.4612579345703,267.40240478515625
2022-08-25,166.91546630859375,270.3693542480469
2022-08-26,160.62290954589844,259.93658447265625
2022-08-29,158.42398071289062,257.1635437011719
2022-08-30,155.99917602539062,254.9722900390625
2022-08-31,154.34014892578125,253.5178680419922
2022-09-01,155.0665740966797,252.48040771484375
2022-09-02,152.95594787597656,248.27243041992188
2022-09-06,151.69940185546875,245.54786682128903
2022-09-07,153.10324096679688,250.2406768798828
2022-09-08,151.63067626953125,250.65757751464844
2022-09-09,154.48739624023438,256.4170227050781
2022-09-12,160.43638610839844,258.5403137207031
2022-09-13,151.0220489501953,244.3262176513672
2022-09-14,152.4651336669922,244.5492248535156
2022-09-15,149.5789794921875,237.917236328125
2022-09-16,147.93954467773438,237.29672241210935
2022-09-19,151.6503448486328,237.0833740234375
2022-09-20,154.02597045898438,235.07635498046875
2022-09-21,150.90423583984375,231.68276977539065
2022-09-22,149.9421844482422,233.65101623535156
2022-09-23,147.67449951171875,230.68411254882812
2022-09-26,148.00830078125,230.2283935546875
2022-09-27,148.98013305664062,229.22003173828125
2022-09-28,147.0952911376953,233.7383270263672
2022-09-29,139.8701171875,230.27687072753903
2022-09-30,135.66854858398438,225.81675720214844
2022-10-03,139.8406982421875,233.41835021972656
